Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2733","Pigmeat","2011","2011","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2733","Pigmeat","2011","2011","1000 t","110","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2733","Pigmeat","2011","2011","g/cap/d","2.91","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2733","Pigmeat","2012","2012","1000 t","99","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2733","Pigmeat","2012","2012","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2733","Pigmeat","2012","2012","1000 t","99","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2733","Pigmeat","2012","2012","g/cap/d","2.57","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2733","Pigmeat","2013","2013","1000 t","103","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2733","Pigmeat","2013","2013","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2733","Pigmeat","2013","2013","1000 t","103","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2733","Pigmeat","2013","2013","g/cap/d","2.64","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2733","Pigmeat","2014","2014","1000 t","113","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2733","Pigmeat","2014","2014","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2733","Pigmeat","2014","2014","1000 t","113","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2733","Pigmeat","2014","2014","g/cap/d","2.86","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2733","Pigmeat","2015","2015","1000 t","112","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2733","Pigmeat","2015","2015","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2733","Pigmeat","2015","2015","1000 t","112","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2733","Pigmeat","2015","2015","g/cap/d","2.79","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2733","Pigmeat","2016","2016","1000 t","113","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2733","Pigmeat","2016","2016","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2733","Pigmeat","2016","2016","1000 t","113","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2733","Pigmeat","2016","2016","g/cap/d","2.79","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2733","Pigmeat","2017","2017","1000 t","113","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2733","Pigmeat","2017","2017","1000 t","1","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2733","Pigmeat","2017","2017","1000 t","113","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2733","Pigmeat","2017","2017","g/cap/d","2.76","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2733","Pigmeat","2018","2018","1000 t","109","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2733","Pigmeat","2018","2018","1000 t","2","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2733","Pigmeat","2018","2018","1000 t","112","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2733","Pigmeat","2018","2018","g/cap/d","2.68","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2733","Pigmeat","2019","2019","1000 t","93","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2733","Pigmeat","2019","2019","1000 t","1","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2733","Pigmeat","2019","2019","1000 t","94","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2733","Pigmeat","2019","2019","g/cap/d","2.23","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2733","Pigmeat","2020","2020","1000 t","106","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2733","Pigmeat","2020","2020","1000 t","1","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2733","Pigmeat","2020","2020","1000 t","107","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2733","Pigmeat","2020","2020","g/cap/d","2.53","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2733","Pigmeat","2021","2021","1000 t","105","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2733","Pigmeat","2021","2021","1000 t","2","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2733","Pigmeat","2021","2021","1000 t","104","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2733","Pigmeat","2021","2021","g/cap/d","2.42","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2733","Pigmeat","2022","2022","1000 t","101","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2733","Pigmeat","2022","2022","1000 t","3","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2733","Pigmeat","2022","2022","1000 t","104","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2733","Pigmeat","2022","2022","g/cap/d","2.4","E","Estimated value",""
