hhid,weight
HID162385,135.4512785
HID162390,181.9677384
HID162463,37.90303768
HID162587,30.94150281
HID162781,129.0839107
HID162786,64.04769961
HID162808,164.7028153
HID162817,124.0042864
HID162877,120.1751028
HID163002,185.2970411
HID163087,266.2364819
HID163289,115.1299701
HID163368,199.1580337
HID163391,27.60756519
HID163426,94.62667688
HID163456,177.570332
HID163479,35.36305043
HID163530,94.40247101
HID163647,206.4688686
HID163677,210.2970873
HID163897,128.8032935
HID163929,176.4501361
HID163950,116.4774073
HID163978,45.38349267
HID164140,86.75102376
HID164203,101.8948079
HID164242,125.5241165
HID164264,187.6844148
HID164478,145.9130819
HID164604,184.5459809
HID164640,272.7735983
HID164796,134.1515112
HID164986,182.2435624
HID165064,113.2829209
HID165234,85.59101676
HID165292,190.7267393
HID165356,214.4963801
HID165358,194.2536783
HID165389,91.65621979
HID165418,124.9927139
HID165486,139.0857233
HID165554,159.3269687
HID165562,40.0338305
HID165665,32.44521625
HID165789,234.241075
HID165949,39.71349974
HID166065,129.2607564
HID166342,167.5744841
HID166350,185.4975791
HID166553,130.721462
HID166572,256.0991039
HID166700,56.04421572
HID166765,155.9614285
HID166925,156.6455348
HID166986,25.82866189
HID167033,110.2149608
HID167081,33.02432114
HID167082,27.78110253
HID167194,116.8230579
HID167251,85.20658024
HID167263,194.4725857
HID167360,103.5912163
HID167423,254.57448
HID167451,196.177257
HID167507,173.6007539
HID167616,230.9922299
HID167689,27.36534213
HID167777,261.9838669
HID167794,38.6236889
HID167879,224.9841275
HID167950,71.10141103
HID168045,683.3854096
HID168114,59.58642332
HID168128,359.033257
HID168527,26.90166268
HID168544,146.5774415
HID168698,82.07647502
HID168964,268.969678
HID169164,52.91841128
HID169176,208.9124853
HID169206,155.3254204
HID169208,149.720324
HID169363,120.6745774
HID169368,19.60612095
HID169625,214.5779188
HID170067,175.9620824
HID170104,22.16160418
HID170116,25.82542358
HID170183,182.5082684
HID170191,445.7897847
HID170201,25.87147625
HID170356,228.4176611
HID170443,176.220274
HID170493,227.5973781
HID170506,160.4070448
HID170589,33.39733321
HID170794,149.9038963
HID170955,182.5082684
HID170973,118.1959635
HID171040,94.40247101
HID171299,306.4527987
HID171315,196.0854051
HID171325,98.27053982
HID171326,22.15264627
HID171439,239.9587567
HID171629,109.5303958
HID171634,177.554412
HID171687,91.33706495
HID171717,31.08279345
HID171847,28.34831064
HID171870,141.0174208
HID171912,130.1889092
HID172132,129.2255195
HID172176,178.7980117
