hhid,province,qty_rice_harvested,area_rice_harvested
HID152378,Battambang,2850,.5
HID152769,Kampong Thom,800,.5
HID152815,Stung Treng,500,.2
HID152890,Kandal,0,0
HID152981,Preah Sihanouk,0,0
HID152998,Pailin,0,0
HID153004,Kampong Speu,1760,.48
HID153136,Banteay Meanchey,0,0
HID153165,Kampong Speu,4600,1.92
HID153219,Phnom Penh,500,.4
HID153245,Pursat,3000,2
HID153278,Prey Veng,1000,.5
HID153452,Kampot,2440,1.11
HID153515,Tboung Khmum,1000,.46
HID153705,Prey Veng,2000,.5
HID153798,Pursat,3000,1.3
HID153816,Kampong Chhnang,3000,1.3
HID153961,Takeo,0,0
HID153965,Siem Reap,1000,.5
HID154012,Kampong Speu,1300,.5
HID154057,Tboung Khmum,1500,1.6
HID154167,Kampong Speu,2300,1.2
HID154242,Battambang,1000,.5
HID154318,Kampong Speu,0,0
HID154337,Prey Veng,1500,1.5
HID154348,Kampong Thom,0,0
HID154450,Kampong Speu,750,.37
HID154480,Kandal,70,.07
HID154548,Siem Reap,800,.5
HID154569,Takeo,5000,.7
HID154719,Kampot,3000,1.5
HID154723,Kandal,0,0
HID154778,Ratanak Kiri,3000,4
HID154835,Prey Veng,100,.27
HID154876,Kratie,550,.1
HID154906,Kampong Speu,450,.5
HID154938,Kampong Speu,1200,1
HID155008,Kandal,160,.08
HID155294,Koh Kong,0,0
HID155301,Kampot,1900,1.16
HID155339,Kampot,1950,1.2
HID155363,Takeo,13000,1
HID155447,Takeo,11000,1.1
HID155549,Battambang,1530,.32
HID155664,Siem Reap,0,0
HID155733,Kampong Chhnang,8500,1.64
HID155741,Siem Reap,400,.3
HID155761,Kampong Thom,5000,4
HID155775,Prey Veng,800,.5
HID155797,Kampong Cham,700,.5
HID155840,Takeo,5410,1.65
HID156103,Kampong Chhnang,760,.44
HID156193,Preah Sihanouk,0,0
HID156256,Phnom Penh,0,0
HID156307,Banteay Meanchey,4000,2
HID156376,Battambang,75725,21.891
HID156433,Prey Veng,10000,3
HID156574,Kandal,15000,3
HID156646,Pursat,1000,1.32
HID156668,Kampong Cham,0,0
HID156752,Pursat,13000,7
HID156803,Kampot,2300,.6
HID156812,Svay Rieng,1000,.24
HID156915,Kandal,4900,.7
HID156948,Kampong Thom,0,0
HID157190,,1290,1.8
HID157223,Kampong Cham,25,.25
HID157257,Banteay Meanchey,0,0
HID157400,Takeo,6000,1
HID157426,Tboung Khmum,2000,1
HID157480,Svay Rieng,850,.5
HID157558,Battambang,0,0
HID157617,Kampong Chhnang,0,0
HID157681,Kampot,700,.25
HID157690,Battambang,2000,1
HID157703,Ratanak Kiri,1800,1.5
HID157799,Preah Sihanouk,0,0
HID157860,Kampot,3000,1.4
HID157879,Kampong Thom,0,0
HID157927,Svay Rieng,0,0
HID157999,Takeo,180,.17
HID158042,Battambang,7000,3
HID158144,Tboung Khmum,0,0
HID158564,Prey Veng,4000,.72
HID158567,Svay Rieng,20000,2.5
HID158580,Siem Reap,5000,4
HID158757,Koh Kong,0,0
HID158879,Pursat,0,0
HID158936,Pursat,1500,.85
HID158940,Siem Reap,0,0
HID158985,,800,.6
HID159041,Takeo,630,.21
HID159049,Prey Veng,420,.35
HID159066,Kampong Speu,1000,.18
HID159218,Kampong Chhnang,850,.55
HID159376,Kampong Thom,0,0
HID159533,Kampong Cham,4000,1.6
HID159537,Prey Veng,10000,2.5
HID159618,Kandal,800,.3
HID159706,Kampong Cham,0,0
HID159726,Preah Vihear,8000,5
HID159775,Kandal,0,0
HID159829,Prey Veng,2000,1
HID159836,Kampong Speu,2500,.9
HID159918,Svay Rieng,1500,.1
HID160263,Kampong Thom,1885,.68
HID160393,Kampong Speu,3450,1.5
HID160499,Kampong Cham,630,.6
HID160769,Ratanak Kiri,1200,.5
HID160778,Kandal,24000,3
HID160857,Battambang,13000,4
HID160901,Takeo,500,.2
HID160966,Kratie,5000,2
HID161039,Kampong Cham,0,0
HID161241,Siem Reap,6000,4
HID161303,Takeo,1000,.45
HID161358,Kampong Cham,0,0
HID161368,Kampot,2950,2.1
HID161385,Kandal,0,0
HID161417,Pailin,0,0
HID161462,Battambang,0,0
HID161510,Prey Veng,1000,3
HID161522,Kampong Thom,400,.4
HID161540,Kampot,1000,.31
HID161621,Svay Rieng,500,.4
HID161645,Siem Reap,4000,2.3
HID161682,Stung Treng,0,0
HID161705,Kratie,0,0
HID161734,Battambang,0,0
HID162030,Kampot,1000,.55
HID162380,Takeo,2500,.8423
HID162385,Prey Veng,0,0
HID162390,Kampong Cham,5800,2
