hhid,province,raised_Poultry,raised_cattle_buffalo,raised_Livestock,raised_Livestock_Poultry,ag_hh_homelot,ag_area_homelot,ag_hh_parcel,ag_area_parcel,ag_hh,ag_area,zone,fhh,edu_hh,edu_hh_head,covid_shock,ag_comm,ag_assoc,ag_comm_assoc,animal_area,animal_ded_area,homelot_area,parcel_area,holding_area,animal_area_rate,rice,rice_harv_sold_pct,sold_rice,rice_area_agland_pct,rice_area_total_pct,rice_price_impt,value_rice_prod,rice_price,cashew,area_cashew_harvested,area_cashew_planted,qty_cashew_harvested,qty_cashew_own_use,qty_cashew_sale,qty_cashew_gift,qty_cashew_pay,qty_cashew_feed,qty_cashew_seed,qty_cashew_lost,qty_cashew_processed,cashew_harv_sold_pct,sold_cashew,cashew_area_agland_pct,cashew_area_total_pct,cashew_price_impt,value_cashew_prod,cashew_price,animal_disease,irrigation,drought,flood,ag_extension_training,family_hours,family_full_days,family_work_days
HID103416,4,1,0,0,1,1,.024,1,.8599999904632568,1,.884,Tonle Sap,0,2,2,0,0,0,0,.0010000000474975,1,.024,.8600000143051147,.884,.0011312218,1,.14634146,1,.97285068,.97285068,0,2255000,1100,0,,,,,,,,,,,,,,,,0,,,0,1,1,0,0,1080,135,360
HID103572,14,1,0,0,1,1,.2842,1,.6499999761581421,1,.93419999,Plain,1,2,1,0,0,0,0,.0806000009179115,1,.2842,.6499999761581421,.93419999,.08627703,1,0,0,.53521729,.53521729,1,476000,850,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,3192,399,636
HID103647,21,0,1,1,1,1,.12,1,1.279999998211861,1,1.4,Plain,0,3,2,0,0,0,0,,0,.12,1.280000001192093,1.4,,1,.44117647,1,.91428572,.91428572,0,3400000,1000,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,1136,142,476
HID103775,1,1,0,0,1,1,.08,1,1.479999989271164,1,1.5599999,Tonle Sap,0,2,1,0,0,0,0,,0,.08,1.479999989271164,1.5599999,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,800,100,138
HID103871,3,1,1,1,1,1,.23,1,.4,1,.63,Plain,0,3,2,0,0,0,0,.0052000000141561,1,.23,.4000000059604645,.63,.0082539683,1,0,0,.63492066,.63492066,1,410000,820,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,7200,900,720
HID103915,13,1,1,1,1,1,.06,1,2,1,2.0599999,Mountain,0,1,0,0,0,0,0,.0299999993294477,1,.06,2,2.0599999,.014563107,1,0,0,.72815537,.72815537,1,1800000,900,0,,,,,,,,,,,,,,,,0,,,0,0,1,0,0,6450,806.25,840
HID103986,12,0,1,1,1,1,.036,1,.23,1,.266,Phnom Penh,1,2,1,0,0,0,0,.008500000461936,1,.036,.2300000041723251,.266,.031954888,1,0,0,.86466163,.86466163,1,910000,1300,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,3000,375,840
HID103990,14,1,1,1,1,1,.0455,1,1,1,1.0455,Plain,1,2,1,0,0,0,0,.0270000007003546,1,.0455,1,1.0455,.025824964,1,0,0,.95648015,.95648015,1,892500,850,0,,,,,,,,,,,,,,,,0,,,0,0,1,0,0,3192,399,636
HID104034,21,1,0,1,1,1,.04,1,.3799999952316284,1,.41999999,Plain,1,2,1,0,0,0,0,.0099999997764826,1,.04,.3799999952316284,.41999999,.023809524,1,0,0,.90476191,.90476191,1,714000,850,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,692,86.5,356
HID104238,21,1,0,0,1,1,.015,1,.2,1,.215,Plain,0,2,2,0,0,0,0,.003000000026077,1,.015,.2000000029802322,.215,.013953488,1,0,0,.93023258,.93023258,1,595000,850,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,610,76.25,430
