hhid,province,area_rice_harvested,area_rice_planted,qty_rice_harvested,qty_rice_own_use,qty_rice_sale,qty_rice_gift,qty_rice_pay,qty_rice_feed,qty_rice_seed,qty_rice_lost,qty_rice_processed
HID573465,Pursat,1.5,1.5,16300,1000,15300,0,0,0,0,0,0
HID573637,Takeo,.6499999761581421,.6499999761581421,0,0,0,0,0,0,0,0,0
HID573726,Pursat,.2000000029802322,.2000000029802322,0,0,0,0,0,0,0,0,0
HID573741,Takeo,1.25,1.25,2000,500,1500,0,0,0,0,0,0
HID573917,Kampong Thom,.25,.25,0,0,0,0,0,0,0,0,0
HID574096,Kampot,1.179999977350235,1.179999977350235,0,0,0,0,0,0,0,0,0
HID574118,Battambang,2.640000104904175,2.640000104904175,4500,1500,0,3000,0,0,0,0,0
HID574191,Battambang,2,2,8000,1000,6500,0,0,0,500,0,0
HID574530,Kampong Thom,0,0,0,,,,,,,,
HID574589,Kampong Thom,0,0,0,,,,,,,,
HID574943,Kampong Cham,1.200000047683716,1.200000047683716,0,0,0,0,0,0,0,0,0
HID574981,Siem Reap,.300000011920929,.300000011920929,0,0,0,0,0,0,0,0,0
HID574988,Prey Veng,2.150000095367432,2.150000095367432,18810,3500,13000,50,0,500,1700,60,0
HID575028,Battambang,4.5,4.5,0,0,0,0,0,0,0,0,0
HID575065,Kampong Cham,0,0,0,,,,,,,,
HID575066,Banteay Meanchey,1,1,0,0,0,0,0,0,0,0,0
HID575217,Phnom Penh,0,0,0,,,,,,,,
HID575342,Ratanak Kiri,0,0,0,,,,,,,,
HID575547,Prey Veng,.4000000059604645,.4000000059604645,800,700,0,0,0,0,100,0,0
HID575621,Kampong Speu,1.400000050663948,1.400000050663948,4200,700,3500,0,0,0,0,0,0
HID575630,Takeo,.4774999916553497,.4774999916553497,0,0,0,0,0,0,0,0,0
HID575664,Pailin,0,0,0,,,,,,,,
HID575795,Kampong Cham,0,0,0,,,,,,,,
HID575936,Preah Vihear,3,3,0,0,0,0,0,0,0,0,0
HID576266,Kampong Cham,.1500000059604645,.1500000059604645,0,0,0,0,0,0,0,0,0
HID576319,Siem Reap,2,2,0,0,0,0,0,0,0,0,0
HID576328,Kratie,.300000011920929,.300000011920929,0,0,0,0,0,0,0,0,0
HID576471,Stung Treng,0,0,0,,,,,,,,
HID576557,Mondul Kiri,1,1,0,0,0,0,0,0,0,0,0
HID576613,Phnom Penh,0,0,0,,,,,,,,
HID576688,Banteay Meanchey,4,4,16000,2000,14000,0,0,0,0,0,0
HID576781,Svay Rieng,1,1,13500,2000,11500,0,0,0,0,0,0
HID576867,Preah Vihear,0,0,0,,,,,,,,
HID576874,Siem Reap,.5,.5,0,0,0,0,0,0,0,0,0
HID576953,Kampong Thom,.119999997317791,.119999997317791,0,0,0,0,0,0,0,0,0
HID577005,Otdar Meanchey,1.860000014305115,1.860000014305115,3500,1000,2500,0,0,0,0,0,0
HID577022,Banteay Meanchey,0,0,0,,,,,,,,
HID577088,Kampong Speu,.5,.5,0,0,0,0,0,0,0,0,0
HID577116,Kampong Chhnang,1,1,0,0,0,0,0,0,0,0,0
HID577337,Kampot,.699999988079071,.699999988079071,0,0,0,0,0,0,0,0,0
HID577355,Prey Veng,1,1,0,0,0,0,0,0,0,0,0
HID577480,Svay Rieng,1.799999952316284,1.799999952316284,3135,2500,600,0,0,35,0,0,0
HID577495,Prey Veng,0,0,0,,,,,,,,
HID577599,Otdar Meanchey,0,0,0,,,,,,,,
HID577650,Siem Reap,0,0,0,,,,,,,,
HID577793,Phnom Penh,.3199999928474426,.3199999928474426,0,0,0,0,0,0,0,0,0
HID577823,Takeo,.699999988079071,.699999988079071,2400,500,1500,0,0,200,200,0,0
HID577976,Takeo,1,1,5500,0,5000,0,0,0,500,0,0
HID577979,Kampot,.800000011920929,.800000011920929,0,0,0,0,0,0,0,0,0
HID578120,Kampong Speu,.5649999976158142,.5649999976158142,0,0,0,0,0,0,0,0,0
HID578176,Kampot,.2000000029802322,.2000000029802322,0,0,0,0,0,0,0,0,0
HID578227,Phnom Penh,.4000000059604645,.4000000059604645,550,400,0,0,150,0,0,0,0
HID578459,Pursat,.1000000014901161,.1000000014901161,0,0,0,0,0,0,0,0,0
HID578638,Prey Veng,1.289999961853027,1.289999961853027,3300,1000,1800,0,0,20,450,30,0
HID578677,Svay Rieng,1,1,0,0,0,0,0,0,0,0,0
HID578712,Kandal,0,0,0,,,,,,,,
HID578766,Preah Vihear,2,2,0,0,0,0,0,0,0,0,0
HID578783,Banteay Meanchey,0,0,0,,,,,,,,
HID578804,Battambang,0,0,0,,,,,,,,
HID578915,Kampong Chhnang,1,1,2000,1000,1000,0,0,0,0,0,0
HID578991,Svay Rieng,1.149999976158142,1.149999976158142,2000,500,1500,0,0,0,0,0,0
HID579074,Kampong Thom,.3499999940395355,.3499999940395355,0,0,0,0,0,0,0,0,0
HID579141,Pailin,0,0,0,,,,,,,,
HID579258,Tboung Khmum,3,3,8000,1000,7000,0,0,0,0,0,0
HID579268,Tboung Khmum,0,0,0,,,,,,,,
HID579404,Kampot,.3300000131130219,.3300000131130219,0,0,0,0,0,0,0,0,0
HID579597,Pailin,0,0,0,,,,,,,,
HID579606,Kampong Cham,1,1,3000,2000,1000,0,0,0,0,0,0
HID579730,Kampong Speu,2,2,4350,1900,2100,0,0,100,250,0,0
HID579864,Kampong Speu,.0900000035762787,.0900000035762787,0,0,0,0,0,0,0,0,0
