hhid,province,area_rice_harvested,area_rice_planted,qty_rice_harvested,qty_rice_own_use,qty_rice_sale,qty_rice_gift,qty_rice_pay,qty_rice_feed,qty_rice_seed,qty_rice_lost,qty_rice_processed
HID894239,21,.1400000005960464,.1400000005960464,1895,1600,100,0,0,100,75,20,0
HID894372,17,.800000011920929,.800000011920929,1500,500,1000,0,0,0,0,0,0
HID894417,20,.5,.5,0,0,0,0,0,0,0,0,0
HID894547,17,1,1,0,0,0,0,0,0,0,0,0
HID894867,17,1.495000004768372,1.495000004768372,2500,1500,1000,0,0,0,0,0,0
HID894916,16,1.5,1.5,2500,1000,1500,0,0,0,0,0,0
HID894929,4,.5,.5,0,0,0,0,0,0,0,0,0
HID894995,14,.4399999976158142,.4399999976158142,0,0,0,0,0,0,0,0,0
HID895146,23,.330000001937151,.330000001937151,0,0,0,0,0,0,0,0,0
HID895328,4,2,2,3000,2000,1000,0,0,0,0,0,0
HID895532,21,0,0,0,,,,,,,,
HID895625,15,1.810000002384186,1.810000002384186,3000,1555,0,0,0,1200,245,0,0
HID895727,14,.6499999761581421,.6499999761581421,5400,200,5200,0,0,0,0,0,0
HID895731,23,0,0,0,,,,,,,,
HID895969,14,1,1,0,0,0,0,0,0,0,0,0
HID895973,3,0,0,0,,,,,,,,
HID896065,8,0,0,0,,,,,,,,
HID896100,14,.8999999761581421,.8999999761581421,2300,1000,1100,0,0,0,200,0,0
HID896202,18,0,0,0,,,,,,,,
HID896203,5,.4000000059604645,.4000000059604645,0,0,0,0,0,0,0,0,0
HID896209,2,2,2,6000,2000,4000,0,0,0,0,0,0
HID896258,8,0,0,0,,,,,,,,
HID896378,15,1.5,1.5,9000,1000,7500,0,0,500,0,0,0
HID896477,21,1.5,1.5,26400,1200,24750,0,0,0,450,0,0
HID896545,5,0,0,0,,,,,,,,
HID896565,6,1,1,0,0,0,0,0,0,0,0,0
HID896611,16,0,0,0,,,,,,,,
HID896641,22,3,3,5000,2500,2500,0,0,0,0,0,0
HID896694,1,1.5,1.5,0,0,0,0,0,0,0,0,0
HID896722,21,.25,.25,0,0,0,0,0,0,0,0,0
HID896748,6,.2000000029802322,.2000000029802322,0,0,0,0,0,0,0,0,0
HID896992,3,0,0,0,,,,,,,,
HID897002,25,0,0,0,,,,,,,,
HID897015,9,0,0,0,,,,,,,,
HID897077,3,.5,.5,1500,400,1100,0,0,0,0,0,0
HID897123,25,.4000000059604645,.4000000059604645,0,0,0,0,0,0,0,0,0
HID897139,17,.5,.5,0,0,0,0,0,0,0,0,0
HID897205,14,.239999994635582,.239999994635582,0,0,0,0,0,0,0,0,0
HID897369,8,0,0,0,,,,,,,,
HID897460,14,2,2,2000,700,1000,0,0,0,300,0,0
HID897479,20,5,5,25000,0,25000,0,0,0,0,0,0
HID897590,6,2,2,3500,1500,2000,0,0,0,0,0,0
HID897671,17,2,2,3000,1000,2000,0,0,0,0,0,0
HID897706,9,0,0,0,,,,,,,,
HID897720,8,.300000011920929,.300000011920929,0,0,0,0,0,0,0,0,0
HID897803,8,.300000011920929,.300000011920929,0,0,0,0,0,0,0,0,0
HID897858,25,3,3,0,0,0,0,0,0,0,0,0
HID897871,16,0,0,0,,,,,,,,
HID897875,6,2,2,4800,2800,2000,0,0,0,0,0,0
HID897885,17,3,3,4000,2000,2000,0,0,0,0,0,0
HID897968,3,1.049999952316284,1.049999952316284,100,70,30,0,0,0,0,0,0
HID897974,1,2.400000035762787,2.400000035762787,3000,2000,1000,0,0,0,0,0,0
HID897978,5,.300000011920929,.300000011920929,0,0,0,0,0,0,0,0,0
HID898157,20,4,4,10000,3000,7000,0,0,0,0,0,0
HID898550,21,.0199999995529652,.0199999995529652,0,0,0,0,0,0,0,0,0
