hhid,province,raised_Poultry,raised_cattle_buffalo,raised_Livestock,raised_Livestock_Poultry,ag_area,ag_hh,zone,fhh,edu_hh,edu_hh_head,covid_shock,ag_comm,ag_assoc,ag_comm_assoc,animal_area,animal_ded_area,homelot_area,parcel_area,holding_area,animal_area_rate,rice,rice_harv_sold_pct,sold_rice,rice_area_agland_pct,rice_area_total_pct,rice_price_impt,value_rice_prod,rice_price,cashew,area_cashew_harvested,area_cashew_planted,qty_cashew_harvested,qty_cashew_own_use,qty_cashew_sale,qty_cashew_gift,qty_cashew_pay,qty_cashew_feed,qty_cashew_seed,qty_cashew_lost,qty_cashew_processed,cashew_harv_sold_pct,sold_cashew,cashew_area_agland_pct,cashew_area_total_pct,cashew_price_impt,value_cashew_prod,cashew_price,animal_disease,irrigation,drought,flood,ag_extension_training,family_hours,family_full_days,family_work_days
HID103377,1,1,0,0,1,16.6622,1,Tonle Sap,0,2,1,0,0,0,0,.0012000000569969,1,.0525,,.052499998,.022857144,1,.36000001,1,.75020105,238.09525,0,45000000,900,0,,,,,,,,,,,,,,,,0,,,0,0,1,0,0,3190,398.75,420
HID103410,7,1,0,1,1,3.0005,1,Coastal,0,3,2,0,0,0,0,,0,.04375,3,3.04375,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,2520,315,840
HID103456,16,1,0,0,1,6.0016,1,Mountain,0,1,1,0,0,0,0,.0015999999595806,1,.0735,6,6.0735002,.00026343952,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,5280,660,660
HID103520,1,1,0,0,1,8.513299999999999,1,Tonle Sap,0,1,1,0,0,0,0,.0108000002801418,1,.1125,8.5,8.6125002,.0012539913,1,0,0,.46985304,.46444121,1,2700000,900,0,,,,,,,,,,,,,,,,0,,,0,0,1,0,1,3629,453.625,485
HID103658,14,1,1,1,1,.8702,1,Plain,0,2,1,0,0,0,0,.0071999998763204,1,.153,.7,.85299999,.0084407972,1,0,0,.80441278,.82063305,1,3534000,930,0,,,,,,,,,,,,,,,,0,,,1,1,0,1,0,440,55,110
HID103695,11,1,1,1,1,2.203,1,Mountain,0,1,0,0,1,0,1,.003000000026077,1,.21,2.1,2.3099999,.0012987014,1,0,0,.68088967,.64935064,1,6800000,850,1,0,.3,0,,,,,,,,,,,.13617794,.12987013,0,,,1,0,0,0,1,2040,255,255
HID103705,17,1,1,1,1,1.1206,1,Tonle Sap,0,2,0,0,0,0,0,.0006000000284985,1,.175,1,1.175,.00051063835,1,,,.89237911,.85106385,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,1,2312,289,407
HID103754,4,1,0,0,1,2.4035,1,Tonle Sap,0,2,2,0,0,0,0,.0015000000130385,1,.238,,.23800001,.0063025211,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,840,105,210
HID103871,5,1,1,1,1,.3002,1,Mountain,0,1,1,0,0,0,0,.0001999999949476,1,.003,.3,.303,.00066006597,1,0,0,.9993338,.99009901,1,1760000,1100,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,72,9,36
HID103888,10,1,0,0,1,8.109999999999999,1,Mountain,0,2,2,0,0,0,0,.0099999997764826,1,.13,8,8.1300001,.0012300123,1,.41666666,1,.3699137,.36900368,0,12000000,1000,1,0,5,0,,,,,,,,,,,.61652279,.61500615,0,,,0,1,0,0,1,2400,300,300
HID104066,7,1,1,1,1,.2642,1,Coastal,0,2,2,0,0,0,0,.006699999794364,1,.055,.25,.30500001,.021967212,1,0,0,.94625282,.81967211,1,1122000,1020,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,1440,180,360
HID104070,17,1,0,0,1,.601,1,Tonle Sap,0,2,2,0,0,0,0,.0010000000474975,1,.2,,.2,.0050000004,1,0,0,.83194673,2.5,1,2850000,950,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,3192,399,456
HID104121,7,,,,,.1043,1,Coastal,1,1,1,0,0,0,0,,0,.105,,.105,,1,0,0,.95877278,.95238096,1,448800,1020,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,132,16.5,48
