year,value,product_general,unit,flow,dataset,product_detailed,dataset_product
2022,.06851633,poultry,1000 t,imports,COMTRADE,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","COMTRADE - Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
2023,259.089783,cashew,1000 t,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
2023,.13605368,poultry,1000 t,imports,COMTRADE,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","COMTRADE - Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
2023,1.00000000000e-06,cashew,1000 t,imports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
2023,.5392776,cashew,1000 t,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, shelled","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, shelled"
2023,.1155313,cashew,1000 t,imports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, shelled","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, shelled"
2012,.516945,poultry,1 million USD,imports,COMTRADE,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","COMTRADE - Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
2012,.5277770000000001,cashew,1 million USD,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
2012,.210245,cashew,1 million USD,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, shelled","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, shelled"
2013,.435017,cashew,1 million USD,imports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
2013,.498329,poultry,1 million USD,imports,COMTRADE,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","COMTRADE - Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
2013,.107272,cashew,1 million USD,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, shelled","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, shelled"
2013,.314297,cashew,1 million USD,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
